,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,,,,,,,,,,,,6,3,12
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,2
6,,,,,,,,,,,,1,,2
7,,,,,,,,,,,,,,5
8,,,,,,,,,,,,2,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,1,
12,,,,,,,,,,,,,10,
13,,,,,,,,,,1,,,,
14,,,,,,,,,,,,,3,
