D:/OneDrive/bangumi/How I Met Your Mother
S01
11	The Mermaid Theory	Mon Dec 06, 2010
12	False Positive	Mon Dec 13, 2010
13	Bad News	Mon Jan 03, 2011
14	Last Words	Mon Jan 17, 2011
15	Oh Honey	Mon Feb 07, 2011
16	Desperation Day	Mon Feb 14, 2011
17	Garbage Island	Mon Feb 21, 2011
18	A Change of Heart	Mon Feb 28, 2011
19	Legendaddy	Mon Mar 21, 2011
20	The Exploding Meatball Sub	Mon Apr 11, 2011
21	Hopeless	Mon Apr 18, 2011
22	The Perfect Cocktail	Mon May 02, 2011
23	Landmarks	Mon May 09, 2011
24	Challenge Accepted	Mon May 16, 2011
S07
1	The Best Man	Mon Sep 19, 2011
2	The Naked Truth	Mon Sep 19, 2011
3	Ducky Tie	Mon Sep 26, 2011
4	The Stinson Missile Crisis	Mon Oct 03, 2011
5	Field Trip	Mon Oct 10, 2011
6	Mystery Vs. History	Mon Oct 17, 2011
7	Noretta	Mon Oct 24, 2011
8	The Slutty Pumpkin Returns	Mon Oct 31, 2011
9	Disaster Averted	Mon Nov 07, 2011
10	Tick Tick Tick	Mon Nov 14, 2011
11	The Rebound Girl	Mon Nov 21, 2011
12	Symphony of Illumination	Mon Dec 05, 2011
13	Tailgate	Mon Jan 02, 2012
14	46 Minutes	Mon Jan 16, 2012
15	The Burning Beekeeper	Mon Feb 06, 2012
16	The Drunk Train	Mon Feb 13, 2012
17	No Pressure	Mon Feb 20, 2012
18	Karma	Mon Feb 27, 2012
19	The Broath	Mon Mar 19, 2012
20	Trilogy Time	Mon Apr 09, 2012
21	Now We're Even	Mon Apr 16, 2012
22	Good Crazy	Mon Apr 30, 2012
23	The Magician's Code - Part One	Mon May 14, 2012
24	The Magician's Code - Part Two	Mon May 14, 2012
S08
1	Farhampton	Mon Sep 24, 2012
2	The Pre-Nup	Mon Oct 01, 2012
3	Nannies	Mon Oct 08, 2012
4	Who Wants to Be a Godparent	Mon Oct 15, 2012
5	The Autumn of Breakups	Mon Nov 05, 2012
6	Splitsville	Mon Nov 12, 2012
7	The Stamp Tramp	Mon Nov 19, 2012
8	Twelve Horny Women	Mon Nov 26, 2012
9	Lobster Crawl	Mon Dec 03, 2012
10	The Over-Correction	Mon Dec 10, 2012
11	The Final Page - Part One	Mon Dec 17, 2012
12	The Final Page - Part Two	Mon Dec 17, 2012
13	Band or DJ	Mon Jan 14, 2013
14	Ring Up!	Mon Jan 21, 2013
15	P.S. I Love You	Mon Feb 04, 2013
16	Bad Crazy	Mon Feb 11, 2013
17	The Ashtray	Mon Feb 18, 2013
18	Weekend at Barney's	Mon Feb 25, 2013
19	The Fortress	Mon Mar 18, 2013
20	The Time Travelers	Mon Mar 25, 2013
21	Romeward Bound	Mon Apr 15, 2013
22	The Bro Mitzvah	Mon Apr 29, 2013
23	Something Old	Mon May 06, 2013
24	Something New	Mon May 13, 2013
S09
1	The Locket	Mon Sep 23, 2013
2	Coming Back	Mon Sep 23, 2013
3	Last Time in New York	Mon Sep 30, 2013
4	The Broken Code	Mon Oct 07, 2013
5	The Poker Game	Mon Oct 14, 2013
6	Knight Vision	Mon Oct 21, 2013
7	No Questions Asked	Mon Oct 28, 2013
8	The Lighthouse	Mon Nov 04, 2013
9	Platonish	Mon Nov 11, 2013
10	Mom and Dad	Mon Nov 18, 2013
11	Bedtime Stories	Mon Nov 25, 2013
12	The Rehearsal Dinner	Mon Dec 02, 2013
13	Bass Player Wanted	Mon Dec 16, 2013
14	Slapsgiving 3 - Slappointment in Slapmarra	Mon Jan 13, 2014
15	Unpause	Mon Jan 20, 2014
16	How Your Mother Met Me	Mon Jan 27, 2014
17	Sunrise	Mon Feb 03, 2014
18	Rally	Mon Feb 24, 2014
19	Vesuvius	Mon Mar 03, 2014
20	Daisy	Mon Mar 10, 2014
21	Gary Blauman	Mon Mar 17, 2014
22	The End of the Aisle	Mon Mar 24, 2014
23	Last Forever (1)	Mon Mar 31, 2014
24	Last Forever (2)	Mon Mar 31, 2014
